playerId,season,name,team,position,situation,games_played,icetime,primaryAssists,secondaryAssists,shotsOnGoal,shotAttempts,points,goals,penalties,penalityMinutes,hits,takeaways,giveaways,lowDangerGoals,mediumDangerGoals,highDangerGoals,faceoffsWon,faceoffsLost,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_goals,OnIce_A_goals
8473604,2022,Jonathan Toews,CHI,C,all,53,56320,12,4,87,138,31,15,15,33,9,37,42,2,4,9,594,347,25,11,23,49,69
8473604,2022,Jonathan Toews,CHI,C,5on5,53,41769,6,4,47,83,14,4,15,33,7,30,32,2,1,1,384,246,25,11,17,20,42
8473604,2022,Jonathan Toews,CHI,C,4on5,53,3370,0,0,0,2,0,0,0,0,1,3,1,0,0,0,48,41,0,0,0,0,10
8473604,2022,Jonathan Toews,CHI,C,5on4,53,8435,2,0,27,37,11,9,0,0,0,1,8,0,2,7,109,28,0,0,4,17,6
8473446,2022,Erik Johnson,COL,D,other,63,1570,0,0,6,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,2
8473446,2022,Erik Johnson,COL,D,all,63,65222,5,3,98,182,8,0,6,12,121,16,17,0,0,0,0,0,2,1,102,41,54
8473446,2022,Erik Johnson,COL,D,5on5,63,56204,4,3,92,175,7,0,5,10,104,13,16,0,0,0,0,0,0,0,78,36,32
8473446,2022,Erik Johnson,COL,D,4on5,63,7381,1,0,0,0,1,0,1,2,15,2,1,0,0,0,0,0,0,0,0,2,20
8473446,2022,Erik Johnson,COL,D,5on4,63,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8478891,2022,Mason Appleton,WPG,C,other,41,1259,2,0,5,5,3,1,0,0,2,1,1,0,0,1,0,1,0,0,0,4,4
8478891,2022,Mason Appleton,WPG,C,all,41,39407,6,5,71,109,16,5,4,8,47,12,11,0,2,3,2,8,22,11,11,27,31
8478891,2022,Mason Appleton,WPG,C,5on5,41,32671,4,5,61,98,12,3,4,8,41,9,9,0,1,2,1,5,20,10,8,21,20
8478891,2022,Mason Appleton,WPG,C,4on5,41,5151,0,0,4,5,0,0,0,0,4,2,1,0,0,0,1,0,0,0,0,1,7
8478891,2022,Mason Appleton,WPG,C,5on4,41,326,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,3,1,0
8474641,2022,Adam Henrique,ANA,C,other,62,2899,0,0,6,9,3,3,1,2,0,1,4,0,0,3,42,29,2,1,4,8,14
8474641,2022,Adam Henrique,ANA,C,all,62,67630,9,7,132,224,38,22,11,22,28,26,34,5,7,10,342,327,18,9,46,63,75
8474641,2022,Adam Henrique,ANA,C,5on5,62,47265,4,6,94,150,25,15,8,16,26,14,27,5,6,4,131,120,14,7,32,35,37
8474641,2022,Adam Henrique,ANA,C,4on5,62,8308,0,0,5,7,0,0,1,2,0,11,0,0,0,0,68,64,0,0,0,0,22
8474641,2022,Adam Henrique,ANA,C,5on4,62,9158,5,1,27,58,10,4,1,2,2,0,3,0,1,3,100,95,2,1,9,20,2
8480028,2022,Morgan Frost,PHI,C,other,81,3451,3,0,10,19,5,2,2,4,2,4,1,0,0,2,14,21,0,0,3,8,14
8480028,2022,Morgan Frost,PHI,C,all,81,79427,14,13,155,277,46,19,12,24,85,37,26,10,4,5,436,515,30,14,53,67,69
8480028,2022,Morgan Frost,PHI,C,5on5,81,65004,9,11,120,214,36,16,9,18,83,30,17,10,4,2,370,436,24,12,49,47,49
8480028,2022,Morgan Frost,PHI,C,4on5,81,973,0,0,2,2,0,0,0,0,0,1,0,0,0,0,7,23,2,1,0,0,2
8480028,2022,Morgan Frost,PHI,C,5on4,81,9999,2,2,22,41,5,1,1,2,0,1,8,0,0,1,43,6,0,0,0,12,3
8477018,2022,Ben Hutton,VGK,D,other,31,576,0,0,3,4,1,1,0,0,0,2,0,0,1,0,0,0,0,0,2,1,1
8477018,2022,Ben Hutton,VGK,D,all,31,29749,2,3,52,94,8,3,3,6,18,14,7,1,1,1,0,0,8,4,34,18,16
8477018,2022,Ben Hutton,VGK,D,5on5,31,27453,2,2,48,84,6,2,2,4,18,12,7,1,0,1,0,0,8,4,29,16,15
8477018,2022,Ben Hutton,VGK,D,4on5,31,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8477018,2022,Ben Hutton,VGK,D,5on4,31,1410,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8478569,2022,Noel Acciari,TOR,C,other,77,1480,0,0,4,5,4,4,0,0,1,1,0,0,0,4,5,4,0,0,5,8,4
8478569,2022,Noel Acciari,TOR,C,all,77,66125,5,4,102,168,23,14,9,21,244,33,13,1,4,9,337,289,37,17,81,34,57
8478569,2022,Noel Acciari,TOR,C,5on5,77,56676,3,4,96,159,17,10,8,19,238,25,10,1,4,5,290,240,33,15,60,25,35
8478569,2022,Noel Acciari,TOR,C,4on5,77,7333,2,0,1,3,2,0,1,2,5,7,3,0,0,0,38,3,0,0,1,1,17
8478569,2022,Noel Acciari,TOR,C,5on4,77,636,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,20,4,2,4,0,0
8475795,2022,Dylan McIlrath,WSH,D,other,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8475795,2022,Dylan McIlrath,WSH,D,all,6,4203,0,1,1,17,1,0,2,7,14,0,2,0,0,0,0,0,5,1,7,2,8
8475795,2022,Dylan McIlrath,WSH,D,5on5,6,4075,0,1,1,17,1,0,2,7,14,0,2,0,0,0,0,0,5,1,7,2,8
8475795,2022,Dylan McIlrath,WSH,D,4on5,6,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8475795,2022,Dylan McIlrath,WSH,D,5on4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8478046,2022,Danton Heinen,PIT,L,other,65,314,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8478046,2022,Danton Heinen,PIT,L,all,65,41954,9,5,96,163,22,8,6,12,76,24,16,0,2,6,2,3,8,4,26,29,30
8478046,2022,Danton Heinen,PIT,L,5on5,65,38605,8,5,87,149,20,7,6,12,76,22,15,0,1,6,2,3,8,4,26,25,29
8478046,2022,Danton Heinen,PIT,L,4on5,65,123,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8478046,2022,Danton Heinen,PIT,L,5on4,65,2912,1,0,8,13,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,4,0
8480874,2022,Adam Ginning,PHI,D,other,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8480874,2022,Adam Ginning,PHI,D,all,1,1000,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,2,1,2
8480874,2022,Adam Ginning,PHI,D,5on5,1,934,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,1,1
8480874,2022,Adam Ginning,PHI,D,4on5,1,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8480874,2022,Adam Ginning,PHI,D,5on4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8475149,2022,Marcus Johansson,MIN,L,other,80,3567,2,0,11,17,5,3,0,0,0,0,1,0,1,2,2,3,0,0,1,10,11
8475149,2022,Marcus Johansson,MIN,L,all,80,79152,17,10,137,233,46,19,4,8,26,31,31,6,8,5,23,29,33,16,23,80,54
8475149,2022,Marcus Johansson,MIN,L,5on5,80,59274,8,4,97,168,24,12,4,8,19,24,24,6,4,2,17,19,31,14,19,46,38
8475149,2022,Marcus Johansson,MIN,L,4on5,80,3424,0,0,3,9,1,1,0,0,0,3,0,0,1,0,2,6,2,1,0,1,4
8475149,2022,Marcus Johansson,MIN,L,5on4,80,12887,5,6,25,38,14,3,0,0,7,4,6,0,2,1,2,1,0,0,2,21,1
8476878,2022,Zemgus Girgensons,BUF,L,other,80,1501,2,0,1,2,3,1,0,0,0,2,0,0,0,1,5,16,0,0,3,5,5
8476878,2022,Zemgus Girgensons,BUF,L,all,80,62289,4,4,114,202,18,10,7,14,96,22,8,2,4,4,94,113,30,14,49,27,48
8476878,2022,Zemgus Girgensons,BUF,L,5on5,80,54049,1,4,104,187,14,9,7,14,92,19,8,2,4,3,57,67,30,14,39,21,29
8476878,2022,Zemgus Girgensons,BUF,L,4on5,80,6469,0,0,8,12,0,0,0,0,4,1,0,0,0,0,29,2,0,0,0,0,13
8476878,2022,Zemgus Girgensons,BUF,L,5on4,80,270,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,12,0,0,0,1,0
8482660,2022,Kent Johnson,CBJ,C,other,79,2614,2,1,12,21,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,6,12
8482660,2022,Kent Johnson,CBJ,C,all,79,68808,17,7,126,221,40,16,7,14,15,26,40,7,6,3,41,98,22,11,30,60,64
8482660,2022,Kent Johnson,CBJ,C,5on5,79,58507,11,4,93,162,24,9,7,14,12,25,31,3,5,1,38,91,20,10,30,39,48
8482660,2022,Kent Johnson,CBJ,C,4on5,79,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482660,2022,Kent Johnson,CBJ,C,5on4,79,7669,4,2,17,34,11,5,0,0,2,0,9,3,0,2,3,0,0,0,0,14,4
8477494,2022,Jonathan Drouin,MTL,L,other,58,2336,1,1,5,10,2,0,0,0,1,1,0,0,0,0,8,12,0,0,0,5,9
8477494,2022,Jonathan Drouin,MTL,L,all,58,51880,14,13,69,125,29,2,9,18,29,31,19,1,0,1,169,211,16,8,23,40,45
8477494,2022,Jonathan Drouin,MTL,L,5on5,58,42482,9,7,54,100,18,2,8,16,28,29,17,1,0,1,154,185,16,8,23,23,34
