team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
OTT,2022,OTT,OTT,Team Level,other,63,0.54,0.52,0.53,9095.0,130.6,28.6,9.63,21.46,4.11,69.14,44.07,27.02,28.6,27.02,133.0,44.0,46.0,223.0,28.0,12.0,4.0,21.0,4.0,51.0,61.0,105.0,149.0,8.0,22.0,108.0,23.0,17.0,23.0,85.0,55.0,37.0,3.5,7.03,18.05,4.0,7.0,17.0,223.0,177.0,177.0,10.0,2.82,3.88,3.88,27.53,27.53,27.02,114.0,24.53,7.82,20.56,3.69,57.03,40.37,20.91,24.53,20.91,107.0,47.0,48.0,202.0,20.0,9.0,0.0,13.0,4.0,53.0,55.0,87.0,134.0,10.0,24.0,105.0,24.0,19.0,21.0,84.0,34.0,36.0,3.31,4.15,17.07,4.0,4.0,12.0,202.0,154.0,154.0,9.0,2.38,2.9,2.71,24.19,24.19,21.62
OTT,2022,OTT,OTT,Team Level,all,63,0.52,0.52,0.52,228767.0,2134.16,224.28,152.58,481.31,70.74,1150.57,833.5,214.32,224.01,214.03,2097.0,816.0,994.0,3907.0,197.0,217.0,21.0,402.0,64.0,986.0,1047.0,1900.0,2716.0,276.0,642.0,1907.0,1809.0,438.0,607.0,1976.0,709.0,228.0,58.31,88.02,77.95,48.0,75.0,74.0,3895.2,2913.0,2906.71,389.0,34.32,41.09,41.09,217.51,217.1,211.87,1995.47,208.52,141.06,453.83,65.56,1073.91,786.19,197.67,210.25,199.35,1987.0,743.0,947.0,3677.0,198.0,192.0,34.0,433.0,60.0,877.0,970.0,1789.0,2532.0,283.0,665.0,1799.0,1548.0,387.0,602.0,1942.0,545.0,243.0,58.11,66.56,83.83,66.0,60.0,72.0,3716.21,2730.0,2758.63,369.0,31.72,40.08,40.15,200.03,201.56,195.4
OTT,2022,OTT,OTT,Team Level,5on5,63,0.51,0.52,0.52,176157.0,1573.69,140.24,104.44,376.26,52.29,849.97,633.79,135.03,139.97,134.76,1537.0,620.0,773.0,2930.0,112.0,146.0,9.0,317.0,52.0,742.0,788.0,1425.0,2045.0,244.0,566.0,1414.0,1711.0,348.0,481.0,1537.0,502.0,118.0,45.55,62.41,32.28,33.0,55.0,24.0,2918.2,2157.0,2150.71,336.0,21.66,27.45,27.45,134.45,134.04,131.64,1466.78,132.14,97.66,350.4,48.25,786.73,592.89,127.64,133.87,129.33,1459.0,550.0,737.0,2746.0,136.0,131.0,27.0,337.0,46.0,639.0,720.0,1323.0,1873.0,238.0,563.0,1314.0,1417.0,297.0,494.0,1464.0,408.0,137.0,44.41,49.98,37.74,55.0,47.0,34.0,2785.21,2009.0,2037.63,327.0,20.29,26.31,26.6,125.77,127.3,125.16
OTT,2022,OTT,OTT,Team Level,4on5,63,0.13,0.15,0.16,22480.0,67.81,6.88,3.77,9.85,2.37,23.07,48.06,6.83,6.88,6.83,80.0,14.0,15.0,109.0,3.0,4.0,0.0,7.0,2.0,14.0,64.0,77.0,91.0,8.0,16.0,191.0,45.0,54.0,40.0,67.0,15.0,12.0,1.5,2.13,3.24,1.0,1.0,1.0,109.0,94.0,94.0,39.0,0.86,0.78,0.78,6.96,6.96,6.92,349.07,44.12,31.97,73.98,11.48,209.37,109.07,41.63,44.12,41.63,349.0,131.0,149.0,629.0,36.0,45.0,6.0,76.0,9.0,171.0,143.0,313.0,444.0,23.0,46.0,204.0,47.0,17.0,55.0,341.0,80.0,59.0,8.95,9.33,25.84,6.0,5.0,25.0,629.0,480.0,480.0,3.0,8.22,8.83,8.8,43.54,43.54,42.21
OTT,2022,OTT,OTT,Team Level,5on4,63,0.86,0.87,0.85,21035.0,362.05,48.57,34.75,73.73,11.98,208.4,107.57,45.43,48.57,45.43,347.0,138.0,160.0,645.0,54.0,55.0,8.0,57.0,6.0,179.0,134.0,293.0,431.0,16.0,38.0,194.0,30.0,19.0,63.0,287.0,137.0,61.0,7.75,16.45,24.37,10.0,12.0,32.0,645.0,485.0,485.0,4.0,8.97,8.98,8.98,48.55,48.55,46.27,65.61,7.72,3.62,8.88,2.14,20.77,43.86,7.48,7.72,7.48,72.0,15.0,13.0,100.0,6.0,7.0,1.0,7.0,1.0,14.0,52.0,66.0,81.0,12.0,32.0,176.0,60.0,54.0,32.0,53.0,23.0,11.0,1.44,3.1,3.18,1.0,4.0,1.0,100.0,87.0,87.0,30.0,0.83,2.04,2.04,6.52,6.52,6.41
DAL,2022,DAL,DAL,Team Level,other,64,0.62,0.54,0.53,7211.0,121.42,30.48,8.52,21.42,4.33,63.19,39.05,29.25,30.48,29.25,120.0,47.0,60.0,227.0,26.0,11.0,1.0,21.0,4.0,55.0,50.0,94.0,141.0,6.0,12.0,95.0,24.0,16.0,15.0,79.0,41.0,47.0,3.1,5.25,22.13,4.0,4.0,18.0,227.0,167.0,167.0,8.0,2.46,2.35,2.35,30.6,30.6,29.88,107.53,18.47,7.84,21.12,3.64,56.99,38.94,17.67,18.47,17.67,106.0,41.0,49.0,196.0,22.0,11.0,3.0,13.0,0.0,47.0,54.0,84.0,125.0,3.0,6.0,94.0,25.0,18.0,23.0,82.0,42.0,23.0,3.18,5.02,10.27,4.0,9.0,9.0,196.0,147.0,147.0,9.0,2.21,1.58,1.58,19.11,19.11,18.34
DAL,2022,DAL,DAL,Team Level,all,64,0.55,0.52,0.51,233880.0,2086.94,223.0,144.07,494.05,71.23,1144.5,810.16,211.95,224.98,213.85,2079.0,808.0,1081.0,3968.0,212.0,217.0,30.0,376.0,71.0,957.0,1054.0,1867.0,2675.0,223.0,486.0,2056.0,1316.0,443.0,603.0,2056.0,585.0,246.0,60.86,72.16,89.97,75.0,63.0,74.0,4022.26,2887.0,2916.17,303.0,32.13,46.27,46.32,208.81,210.66,204.65,1998.85,184.23,137.91,466.04,65.98,1111.58,809.25,178.45,183.86,178.08,1983.0,792.0,947.0,3722.0,168.0,160.0,24.0,391.0,36.0,956.0,1064.0,1815.0,2607.0,223.0,514.0,1703.0,1562.0,433.0,576.0,2050.0,540.0,185.0,56.82,66.09,61.32,52.0,66.0,50.0,3693.6,2775.0,2762.87,280.0,30.29,31.63,31.63,182.89,182.3,178.57
DAL,2022,DAL,DAL,Team Level,5on5,64,0.52,0.51,0.51,188045.0,1588.82,138.25,105.23,394.51,54.28,876.78,637.96,133.06,140.23,134.96,1570.0,637.0,871.0,3078.0,133.0,157.0,20.0,295.0,56.0,730.0,836.0,1437.0,2074.0,199.0,438.0,1573.0,1211.0,377.0,503.0,1630.0,446.0,131.0,48.12,54.71,35.41,59.0,48.0,26.0,3132.26,2207.0,2236.18,263.0,21.78,29.97,30.46,129.57,131.42,129.1,1555.55,126.64,100.58,379.06,51.05,860.25,640.42,123.33,126.27,122.95,1527.0,631.0,754.0,2912.0,110.0,123.0,18.0,317.0,29.0,728.0,851.0,1417.0,2048.0,198.0,464.0,1291.0,1457.0,367.0,482.0,1649.0,392.0,117.0,46.22,48.31,32.11,43.0,45.0,22.0,2883.6,2158.0,2145.87,245.0,20.71,24.35,24.35,123.0,122.4,120.82
DAL,2022,DAL,DAL,Team Level,4on5,64,0.15,0.13,0.15,20561.0,52.69,5.83,2.44,7.79,1.61,16.12,35.21,5.52,5.83,5.52,61.0,8.0,9.0,78.0,9.0,4.0,1.0,4.0,2.0,9.0,41.0,52.0,60.0,4.0,8.0,201.0,63.0,33.0,30.0,48.0,13.0,8.0,1.33,1.87,2.63,0.0,4.0,5.0,78.0,69.0,69.0,28.0,0.56,1.32,1.32,5.07,5.07,5.02,282.81,33.66,26.69,58.04,9.51,177.18,92.92,32.1,33.66,32.1,283.0,115.0,128.0,526.0,33.0,24.0,3.0,55.0,6.0,169.0,111.0,250.0,365.0,12.0,24.0,157.0,37.0,10.0,49.0,271.0,90.0,37.0,6.02,10.76,16.88,4.0,10.0,19.0,526.0,398.0,398.0,6.0,6.72,5.14,5.14,35.24,35.24,33.9
DAL,2022,DAL,DAL,Team Level,5on4,64,0.9,0.87,0.86,18063.0,324.0,48.43,27.89,70.33,11.01,188.41,97.94,44.12,48.43,44.12,328.0,116.0,141.0,585.0,44.0,45.0,8.0,56.0,9.0,163.0,127.0,284.0,400.0,14.0,28.0,187.0,18.0,17.0,55.0,299.0,85.0,60.0,8.3,10.33,29.81,12.0,7.0,25.0,585.0,444.0,444.0,4.0,7.33,12.63,12.19,43.57,43.57,40.65,52.95,5.46,2.81,7.82,1.78,17.16,36.97,5.35,5.46,5.35,67.0,5.0,16.0,88.0,3.0,2.0,0.0,6.0,1.0,12.0,48.0,64.0,69.0,10.0,20.0,161.0,43.0,38.0,22.0,48.0,16.0,8.0,1.4,2.0,2.06,1.0,2.0,0.0,88.0,72.0,72.0,20.0,0.64,0.56,0.56,5.54,5.54,5.5
BOS,2022,BOS,BOS,Team Level,other,62,0.54,0.44,0.44,9647.0,124.56,31.71,9.22,20.23,4.13,62.53,41.2,30.2,31.71,30.2,122.0,47.0,52.0,221.0,32.0,11.0,3.0,14.0,4.0,51.0,57.0,90.0,137.0,14.0,28.0,117.0,24.0,16.0,20.0,61.0,67.0,41.0,2.73,8.52,20.45,8.0,6.0,18.0,221.0,169.0,169.0,7.0,2.72,3.12,3.12,31.31,31.31,30.22,154.53,26.64,12.16,29.47,5.42,88.95,50.37,22.6,26.64,22.6,149.0,64.0,63.0,276.0,14.0,19.0,3.0,28.0,8.0,80.0,64.0,135.0,199.0,13.0,26.0,116.0,28.0,29.0,15.0,118.0,62.0,33.0,4.46,7.69,14.5,1.0,6.0,7.0,276.0,213.0,213.0,4.0,3.69,6.34,6.34,24.0,24.0,21.92
BOS,2022,BOS,BOS,Team Level,all,62,0.55,0.51,0.52,226174.0,2021.82,217.24,145.74,453.08,66.11,1080.23,784.6,208.97,219.46,211.16,2043.0,704.0,882.0,3629.0,235.0,179.0,35.0,448.0,69.0,809.0,1007.0,1808.0,2512.0,257.0,580.0,1935.0,1440.0,421.0,582.0,1859.0,668.0,220.0,56.93,83.91,76.39,81.0,85.0,69.0,3711.41,2747.0,2798.6,236.0,32.64,39.37,39.41,210.47,212.83,207.96,1866.17,180.37,131.29,426.19,61.12,1018.81,739.28,170.96,178.63,169.31,1839.0,719.0,903.0,3461.0,129.0,163.0,13.0,449.0,66.0,800.0,951.0,1710.0,2429.0,254.0,574.0,1611.0,1620.0,583.0,638.0,1834.0,541.0,183.0,52.34,66.5,61.54,42.0,47.0,40.0,3394.23,2558.0,2520.93,300.0,29.56,36.2,36.34,173.53,171.94,167.13
BOS,2022,BOS,BOS,Team Level,5on5,62,0.54,0.51,0.52,178349.0,1534.61,141.11,105.2,360.58,49.9,818.97,607.25,136.8,143.34,138.98,1541.0,542.0,677.0,2760.0,153.0,132.0,24.0,364.0,56.0,598.0,780.0,1388.0,1930.0,213.0,490.0,1425.0,1320.0,347.0,474.0,1469.0,487.0,127.0,45.16,61.05,34.91,66.0,60.0,27.0,2842.41,2083.0,2134.6,206.0,21.88,27.26,27.3,135.7,138.06,136.26,1428.51,120.62,94.92,341.32,46.7,773.81,580.69,116.2,118.88,114.56,1417.0,542.0,732.0,2691.0,86.0,122.0,7.0,360.0,50.0,600.0,741.0,1331.0,1873.0,218.0,500.0,1205.0,1488.0,487.0,534.0,1452.0,394.0,113.0,41.34,48.32,30.96,37.0,34.0,15.0,2624.23,1959.0,1921.93,265.0,19.65,24.54,24.68,115.52,113.93,111.89
BOS,2022,BOS,BOS,Team Level,4on5,62,0.18,0.19,0.2,19651.0,60.55,6.16,3.33,8.36,1.85,20.06,42.25,6.04,6.16,6.04,73.0,9.0,18.0,100.0,6.0,4.0,0.0,8.0,0.0,15.0,49.0,67.0,76.0,11.0,24.0,169.0,74.0,51.0,25.0,56.0,21.0,5.0,1.91,2.82,1.43,2.0,3.0,1.0,100.0,82.0,82.0,19.0,0.76,0.57,0.57,6.35,6.35,6.25,233.91,28.31,21.72,48.95,7.59,141.28,74.15,27.43,28.31,27.43,219.0,103.0,99.0,421.0,26.0,22.0,3.0,55.0,8.0,114.0,97.0,193.0,296.0,14.0,28.0,163.0,33.0,19.0,64.0,222.0,70.0,30.0,5.42,8.68,14.21,4.0,7.0,15.0,421.0,322.0,322.0,7.0,5.65,5.32,5.32,28.64,28.64,28.05
BOS,2022,BOS,BOS,Team Level,5on4,62,0.89,0.88,0.87,18527.0,302.09,38.25,28.0,63.92,10.24,178.68,93.91,35.93,38.25,35.93,307.0,106.0,135.0,548.0,44.0,32.0,8.0,62.0,9.0,145.0,121.0,263.0,369.0,19.0,38.0,224.0,22.0,7.0,63.0,273.0,93.0,47.0,7.12,11.53,19.59,5.0,16.0,23.0,548.0,413.0,413.0,4.0,7.27,8.42,8.42,37.11,37.11,35.23,49.21,4.8,2.49,6.45,1.4,14.78,34.07,4.73,4.8,4.73,54.0,10.0,9.0,73.0,3.0,0.0,0.0,6.0,0.0,6.0,49.0,51.0,61.0,9.0,20.0,127.0,71.0,48.0,25.0,42.0,15.0,7.0,1.12,1.81,1.87,0.0,0.0,3.0,73.0,64.0,64.0,24.0,0.57,0.0,0.0,5.37,5.37,5.28
BUF,2022,BUF,BUF,Team Level,other,63,0.49,0.45,0.43,7804.0,101.62,30.97,6.91,17.18,3.35,47.56,33.03,28.53,30.97,28.53,103.0,36.0,48.0,187.0,29.0,9.0,1.0,16.0,9.0,44.0,32.0,74.0,110.0,5.0,10.0,91.0,16.0,19.0,14.0,57.0,38.0,44.0,2.21,5.03,23.72,1.0,10.0,18.0,187.0,139.0,139.0,7.0,1.97,2.56,2.56,30.38,30.38,28.24,134.34,31.84,10.26,22.94,4.49,77.9,39.56,28.04,31.84,28.04,134.0,53.0,39.0,226.0,27.0,12.0,1.0,23.0,3.0,75.0,47.0,107.0,160.0,8.0,16.0,118.0,14.0,14.0,14.0,90.0,56.0,41.0,3.59,6.94,21.31,5.0,5.0,17.0,226.0,187.0,187.0,5.0,2.9,3.46,3.71,31.02,31.02,28.36
BUF,2022,BUF,BUF,Team Level,all,63,0.49,0.51,0.5,228703.0,2022.28,214.87,140.21,450.4,65.33,1095.46,799.72,203.79,215.17,204.15,2041.0,725.0,912.0,3678.0,232.0,176.0,15.0,437.0,72.0,867.0,982.0,1809.0,2534.0,217.0,452.0,1689.0,883.0,451.0,417.0,1951.0,607.0,208.0,62.87,74.02,77.98,73.0,89.0,70.0,3689.99,2766.0,2773.27,194.0,30.85,35.28,35.33,210.39,211.04,203.7,2050.87,227.33,144.72,461.62,67.69,1121.09,796.55,215.95,227.77,216.38,2098.0,721.0,696.0,3515.0,223.0,202.0,37.0,467.0,57.0,868.0,1003.0,1875.0,2596.0,247.0,509.0,2013.0,1394.0,482.0,456.0,1928.0,651.0,240.0,59.8,80.48,87.04,67.0,82.0,74.0,3519.61,2819.0,2824.59,226.0,32.25,45.2,45.2,214.38,214.93,208.33
BUF,2022,BUF,BUF,Team Level,5on5,63,0.48,0.52,0.5,185367.0,1588.64,136.25,106.09,368.85,51.24,865.54,645.02,131.44,136.55,131.8,1590.0,583.0,725.0,2898.0,150.0,135.0,7.0,367.0,49.0,683.0,789.0,1440.0,2023.0,181.0,380.0,1313.0,803.0,375.0,340.0,1609.0,459.0,105.0,52.59,55.6,28.05,63.0,62.0,25.0,2909.99,2173.0,2180.27,167.0,21.87,24.31,24.36,133.76,134.41,132.34,1560.96,147.27,105.34,368.73,51.93,846.59,626.13,141.95,147.71,142.37,1606.0,540.0,564.0,2710.0,147.0,158.0,27.0,388.0,46.0,618.0,790.0,1459.0,1999.0,216.0,447.0,1558.0,1309.0,400.0,380.0,1510.0,504.0,132.0,47.35,62.56,37.36,56.0,67.0,24.0,2714.61,2146.0,2151.59,195.0,21.87,32.53,32.29,136.85,137.4,135.02
BUF,2022,BUF,BUF,Team Level,4on5,63,0.14,0.15,0.15,16128.0,56.17,7.02,3.22,7.73,1.75,16.96,37.33,6.76,7.02,6.76,65.0,9.0,15.0,89.0,6.0,6.0,1.0,4.0,0.0,9.0,49.0,59.0,68.0,10.0,20.0,106.0,50.0,49.0,14.0,41.0,24.0,9.0,1.25,3.2,2.57,1.0,2.0,3.0,89.0,74.0,74.0,13.0,0.73,1.6,1.6,6.14,6.14,6.12,298.93,41.36,25.93,61.84,9.61,179.02,94.25,39.28,41.36,39.28,299.0,113.0,89.0,501.0,44.0,30.0,9.0,51.0,7.0,162.0,118.0,255.0,368.0,10.0,20.0,174.0,14.0,13.0,41.0,281.0,75.0,56.0,7.53,8.71,25.11,5.0,7.0,32.0,501.0,412.0,412.0,5.0,6.75,8.54,8.54,39.58,39.58,38.1
BUF,2022,BUF,BUF,Team Level,5on4,63,0.86,0.87,0.84,19404.0,275.85,40.64,24.0,56.64,8.98,165.4,84.35,37.06,40.64,37.06,283.0,97.0,124.0,504.0,47.0,26.0,6.0,50.0,14.0,131.0,112.0,236.0,333.0,21.0,42.0,179.0,14.0,8.0,49.0,244.0,86.0,50.0,6.82,10.18,23.63,8.0,15.0,24.0,504.0,380.0,380.0,7.0,6.27,6.81,6.81,40.11,40.11,37.0,56.63,6.87,3.19,8.12,1.66,17.58,36.59,6.68,6.87,6.68,59.0,15.0,4.0,78.0,5.0,2.0,0.0,5.0,1.0,13.0,48.0,54.0,69.0,13.0,26.0,163.0,57.0,55.0,21.0,47.0,16.0,11.0,1.33,2.27,3.27,1.0,3.0,1.0,78.0,74.0,74.0,21.0,0.73,0.67,0.67,6.92,6.92,6.85
NJD,2022,NJD,NJD,Team Level,other,63,0.65,0.57,0.6,7827.0,133.55,35.02,9.3,21.88,4.32,68.84,44.64,31.79,35.02,31.79,132.0,52.0,55.0,239.0,33.0,11.0,4.0,17.0,7.0,66.0,50.0,99.0,151.0,4.0,8.0,94.0,24.0,24.0,13.0,75.0,58.0,51.0,3.13,7.06,24.82,5.0,11.0,17.0,239.0,184.0,184.0,4.0,2.67,3.6,3.6,34.09,34.09,32.25,90.9,18.75,6.89,16.09,3.06,51.25,28.96,17.99,18.75,17.99,85.0,40.0,52.0,177.0,19.0,10.0,2.0,9.0,1.0,52.0,34.0,66.0,106.0,9.0,18.0,85.0,33.0,18.0,18.0,66.0,33.0,26.0,2.52,3.86,12.37,4.0,4.0,11.0,177.0,125.0,125.0,6.0,2.05,2.41,2.41,18.39,18.39,17.97
NJD,2022,NJD,NJD,Team Level,all,63,0.56,0.53,0.54,229699.0,2187.66,229.51,146.75,507.73,72.92,1172.04,853.12,214.96,230.98,216.44,2175.0,808.0,1052.0,4035.0,225.0,226.0,30.0,393.0,65.0,1070.0,1004.0,1950.0,2758.0,209.0,454.0,1881.0,1069.0,456.0,563.0,2090.0,648.0,245.0,63.03,81.12,85.37,69.0,92.0,64.0,4084.36,2983.0,3017.3,280.0,32.43,48.41,48.47,213.47,214.87,207.87,1847.02,181.38,126.4,430.42,62.84,1017.88,747.09,174.47,181.39,174.49,1781.0,785.0,944.0,3510.0,171.0,186.0,27.0,314.0,48.0,911.0,936.0,1610.0,2395.0,204.0,452.0,1771.0,1434.0,435.0,528.0,1841.0,539.0,186.0,53.89,65.64,61.86,51.0,58.0,62.0,3488.18,2566.0,2557.86,256.0,27.9,37.37,37.43,171.84,171.53,167.95
NJD,2022,NJD,NJD,Team Level,5on5,63,0.55,0.54,0.54,187879.0,1755.74,155.18,112.32,428.12,58.52,936.03,699.89,147.83,156.64,149.3,1741.0,650.0,871.0,3262.0,154.0,177.0,19.0,330.0,53.0,832.0,845.0,1587.0,2237.0,189.0,416.0,1445.0,997.0,364.0,478.0,1755.0,489.0,147.0,53.15,61.37,40.66,60.0,69.0,25.0,3311.36,2391.0,2425.3,255.0,23.31,35.57,35.64,142.85,144.25,140.96,1447.16,125.17,93.51,354.02,49.67,795.54,599.09,121.27,125.19,121.29,1399.0,618.0,767.0,2784.0,115.0,141.0,22.0,267.0,42.0,695.0,757.0,1284.0,1902.0,173.0,390.0,1416.0,1328.0,366.0,455.0,1485.0,424.0,108.0,43.45,51.72,30.0,42.0,41.0,32.0,2762.18,2017.0,2008.86,234.0,19.33,27.61,27.71,116.79,116.48,114.87
NJD,2022,NJD,NJD,Team Level,4on5,63,0.11,0.12,0.13,17698.0,39.48,3.97,1.91,5.73,1.32,12.52,27.55,3.91,3.97,3.91,42.0,11.0,10.0,63.0,6.0,3.0,1.0,4.0,0.0,10.0,30.0,36.0,47.0,6.0,12.0,169.0,31.0,59.0,18.0,37.0,10.0,6.0,1.08,1.28,1.62,1.0,2.0,3.0,63.0,53.0,53.0,18.0,0.44,0.65,0.65,3.77,3.77,3.75,254.16,32.5,23.37,51.94,8.43,153.5,81.27,30.28,32.5,30.28,244.0,107.0,115.0,466.0,31.0,35.0,3.0,33.0,5.0,148.0,99.0,213.0,320.0,17.0,34.0,148.0,20.0,8.0,38.0,236.0,70.0,45.0,6.34,8.56,17.6,4.0,10.0,17.0,466.0,351.0,351.0,2.0,5.92,7.36,7.31,31.1,31.1,29.58
NJD,2022,NJD,NJD,Team Level,5on4,63,0.88,0.85,0.83,16295.0,258.89,35.35,23.21,52.02,8.75,154.64,81.03,31.43,35.35,31.43,260.0,95.0,116.0,471.0,32.0,35.0,6.0,42.0,5.0,162.0,79.0,228.0,323.0,10.0,18.0,173.0,17.0,9.0,54.0,223.0,91.0,41.0,5.66,11.41,18.28,3.0,10.0,19.0,471.0,355.0,355.0,3.0,6.0,8.6,8.6,32.76,32.76,30.91,54.79,4.96,2.64,8.37,1.69,17.58,37.76,4.93,4.96,4.93,53.0,20.0,10.0,83.0,6.0,0.0,0.0,5.0,0.0,16.0,46.0,47.0,67.0,5.0,10.0,122.0,53.0,43.0,17.0,54.0,12.0,7.0,1.57,1.5,1.89,1.0,3.0,2.0,83.0,73.0,73.0,14.0,0.6,0.0,0.0,5.56,5.56,5.53
CGY,2022,CGY,CGY,Team Level,other,65,0.48,0.49,0.49,8267.0,110.7,24.3,7.34,19.8,3.54,57.56,41.46,22.29,24.3,22.29,107.0,47.0,53.0,207.0,15.0,6.0,0.0,21.0,5.0,49.0,58.0,92.0,139.0,14.0,32.0,101.0,33.0,22.0,21.0,78.0,44.0,32.0,3.07,5.31,15.92,2.0,4.0,9.0,207.0,154.0,154.0,12.0,2.12,1.87,1.87,24.55,24.55,23.06,120.21,26.22,8.56,20.56,3.89,61.77,41.0,24.59,26.22,24.59,119.0,43.0,50.0,212.0,27.0,11.0,5.0,17.0,5.0,54.0,48.0,92.0,135.0,4.0,8.0,118.0,24.0,16.0,23.0,71.0,56.0,35.0,2.91,7.15,16.17,5.0,7.0,15.0,212.0,162.0,162.0,9.0,2.57,3.69,3.69,25.11,25.11,23.86
CGY,2022,CGY,CGY,Team Level,all,65,0.53,0.56,0.56,237434.0,2313.8,214.79,155.98,542.19,77.13,1272.59,947.32,207.06,216.03,208.26,2304.0,906.0,1093.0,4303.0,198.0,208.0,31.0,562.0,51.0,922.0,1269.0,2106.0,3012.0,264.0,592.0,2025.0,1569.0,513.0,588.0,2415.0,570.0,225.0,66.82,70.12,77.87,61.0,72.0,65.0,4335.18,3210.0,3231.51,304.0,34.44,43.46,43.46,205.77,206.87,202.52,1854.26,194.13,127.41,422.71,60.88,996.25,735.61,186.38,194.25,186.52,1783.0,754.0,822.0,3359.0,197.0,163.0,22.0,427.0,82.0,723.0,945.0,1586.0,2340.0,248.0,550.0,1974.0,1394.0,522.0,682.0,1774.0,567.0,196.0,54.16,70.69,69.28,71.0,69.0,57.0,3355.09,2537.0,2537.54,370.0,28.5,33.57,33.63,189.0,189.15,184.97
CGY,2022,CGY,CGY,Team Level,5on5,65,0.54,0.57,0.56,188032.0,1800.33,145.75,114.55,441.93,60.14,986.27,741.36,141.13,146.99,142.33,1778.0,712.0,871.0,3361.0,138.0,166.0,23.0,460.0,37.0,694.0,995.0,1640.0,2352.0,228.0,516.0,1530.0,1431.0,407.0,481.0,1920.0,429.0,141.0,53.81,52.89,39.05,55.0,59.0,24.0,3393.18,2490.0,2511.51,254.0,23.57,31.98,31.98,137.33,138.44,136.45,1402.35,125.59,92.27,337.91,46.36,752.51,569.36,121.55,125.71,121.69,1337.0,587.0,639.0,2563.0,129.0,130.0,15.0,332.0,62.0,542.0,729.0,1208.0,1795.0,225.0,504.0,1497.0,1279.0,442.0,556.0,1410.0,399.0,115.0,43.3,50.15,32.14,59.0,48.0,22.0,2559.09,1924.0,1924.54,323.0,19.11,24.56,24.62,120.09,120.24,118.55
CGY,2022,CGY,CGY,Team Level,4on5,65,0.19,0.22,0.25,21232.0,89.45,8.43,4.76,12.89,2.94,30.36,64.62,8.32,8.43,8.32,99.0,25.0,14.0,138.0,7.0,2.0,0.0,11.0,1.0,17.0,86.0,92.0,117.0,8.0,16.0,191.0,76.0,57.0,40.0,92.0,24.0,8.0,2.65,3.02,2.77,1.0,3.0,3.0,138.0,124.0,124.0,36.0,1.08,0.64,0.64,8.88,8.88,8.83,278.16,36.93,24.01,57.07,9.04,166.13,87.83,35.06,36.93,35.06,266.0,115.0,116.0,497.0,37.0,17.0,2.0,71.0,14.0,118.0,124.0,229.0,344.0,8.0,16.0,194.0,27.0,17.0,69.0,246.0,95.0,40.0,6.53,11.17,19.23,7.0,10.0,20.0,497.0,381.0,381.0,8.0,6.22,3.88,3.88,39.27,39.27,38.06
