team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WPG,2022,WPG,WPG,Team Level,other,65,0.53,0.56,0.56,8881.0,139.26,30.47,10.59,24.07,4.71,80.2,42.96,26.99,30.47,26.99,132.0,61.0,56.0,249.0,36.0,8.0,3.0,16.0,2.0,80.0,51.0,96.0,157.0,3.0,6.0,96.0,32.0,16.0,17.0,98.0,58.0,37.0,3.8,7.15,19.53,6.0,11.0,19.0,249.0,193.0,193.0,7.0,3.14,2.71,2.71,30.9,30.9,28.55,109.98,27.11,7.41,19.59,3.58,56.81,37.5,25.95,27.11,25.95,106.0,46.0,47.0,199.0,27.0,7.0,2.0,21.0,2.0,53.0,42.0,79.0,125.0,6.0,14.0,106.0,35.0,12.0,16.0,73.0,43.0,36.0,2.91,5.46,18.74,6.0,6.0,15.0,199.0,152.0,152.0,11.0,2.13,2.02,2.02,27.23,27.23,26.15
WPG,2022,WPG,WPG,Team Level,all,65,0.51,0.51,0.51,235571.0,2069.68,214.46,146.32,471.49,69.08,1163.36,820.28,202.86,213.97,202.42,1982.0,903.0,956.0,3841.0,200.0,184.0,29.0,399.0,55.0,1042.0,1005.0,1782.0,2685.0,231.0,523.0,1707.0,1413.0,484.0,576.0,2063.0,596.0,226.0,62.28,72.87,79.31,76.0,67.0,57.0,3839.37,2885.0,2886.84,405.0,32.67,38.38,38.45,208.68,208.65,201.44,1998.48,204.71,139.03,460.16,65.7,1100.03,800.37,194.86,205.21,195.43,2009.0,761.0,889.0,3659.0,182.0,169.0,25.0,382.0,49.0,932.0,1056.0,1827.0,2588.0,252.0,555.0,1826.0,1383.0,434.0,614.0,1963.0,602.0,205.0,57.36,75.22,72.14,56.0,66.0,60.0,3661.62,2770.0,2772.66,452.0,30.73,36.44,36.44,199.0,199.49,193.32
WPG,2022,WPG,WPG,Team Level,5on5,65,0.51,0.51,0.51,189287.0,1589.39,142.81,107.16,379.31,53.12,890.08,650.52,137.33,142.32,136.9,1533.0,690.0,760.0,2983.0,126.0,145.0,21.0,320.0,45.0,780.0,807.0,1407.0,2097.0,212.0,484.0,1331.0,1302.0,411.0,480.0,1635.0,444.0,144.0,49.39,54.81,38.61,62.0,46.0,18.0,2981.37,2223.0,2224.84,359.0,22.19,28.88,28.95,136.06,136.02,133.5,1563.17,137.76,104.16,378.58,51.38,856.53,634.58,131.88,138.27,132.46,1578.0,585.0,690.0,2853.0,122.0,141.0,18.0,310.0,40.0,708.0,842.0,1456.0,2041.0,219.0,484.0,1348.0,1266.0,367.0,505.0,1584.0,459.0,120.0,46.7,57.69,33.37,45.0,51.0,26.0,2855.62,2163.0,2165.66,384.0,21.57,30.08,30.08,129.26,129.75,127.21
WPG,2022,WPG,WPG,Team Level,4on5,65,0.1,0.11,0.13,18201.0,43.09,3.66,1.96,5.68,1.19,12.86,30.66,3.61,3.66,3.61,44.0,12.0,6.0,62.0,4.0,0.0,0.0,2.0,2.0,11.0,37.0,40.0,52.0,6.0,12.0,120.0,56.0,43.0,34.0,42.0,10.0,4.0,1.31,1.35,1.0,1.0,2.0,1.0,62.0,56.0,56.0,34.0,0.46,0.0,0.0,4.11,4.11,4.05,265.73,33.8,24.3,53.92,9.03,168.38,87.58,31.09,33.8,31.09,257.0,120.0,142.0,519.0,29.0,20.0,5.0,48.0,7.0,160.0,113.0,228.0,348.0,16.0,32.0,185.0,20.0,13.0,39.0,253.0,85.0,39.0,6.47,9.97,17.35,4.0,7.0,18.0,519.0,377.0,377.0,5.0,6.29,4.06,4.06,36.02,36.02,33.48
WPG,2022,WPG,WPG,Team Level,5on4,65,0.86,0.86,0.84,19202.0,297.94,37.51,26.61,62.43,10.07,180.23,96.14,34.93,37.51,34.93,273.0,140.0,134.0,547.0,34.0,31.0,5.0,61.0,6.0,171.0,110.0,239.0,379.0,10.0,21.0,160.0,23.0,14.0,45.0,288.0,84.0,41.0,7.78,9.57,20.16,7.0,8.0,19.0,547.0,413.0,413.0,5.0,6.89,6.79,6.79,37.61,37.61,35.33,59.61,6.03,3.16,8.07,1.71,18.3,40.71,5.93,6.03,5.93,68.0,10.0,10.0,88.0,4.0,1.0,0.0,3.0,0.0,11.0,59.0,64.0,74.0,11.0,25.0,187.0,62.0,42.0,54.0,53.0,15.0,10.0,1.26,2.09,2.68,1.0,2.0,1.0,88.0,78.0,78.0,52.0,0.73,0.27,0.27,6.49,6.49,6.48
SEA,2022,SEA,SEA,Team Level,other,64,0.52,0.5,0.49,6362.0,86.54,25.03,6.26,15.24,3.07,45.19,27.21,23.86,25.03,23.86,86.0,36.0,37.0,159.0,28.0,8.0,1.0,12.0,3.0,44.0,27.0,58.0,94.0,3.0,6.0,64.0,25.0,16.0,7.0,67.0,18.0,37.0,2.1,2.6,20.33,4.0,7.0,17.0,159.0,122.0,122.0,3.0,1.88,2.24,2.24,24.67,24.67,23.63,90.91,23.3,6.63,14.83,2.91,50.51,26.81,20.48,23.3,20.48,80.0,45.0,36.0,161.0,24.0,10.0,4.0,13.0,5.0,43.0,30.0,56.0,101.0,3.0,6.0,85.0,26.0,19.0,8.0,57.0,33.0,35.0,2.19,4.17,16.94,2.0,7.0,15.0,161.0,125.0,125.0,0.0,1.94,4.66,4.66,20.58,20.58,19.41
SEA,2022,SEA,SEA,Team Level,all,64,0.5,0.52,0.52,232403.0,1959.75,197.82,136.07,455.63,66.08,1089.74,791.66,190.22,199.23,191.63,1928.0,809.0,949.0,3686.0,225.0,157.0,28.0,392.0,70.0,857.0,1036.0,1703.0,2512.0,212.0,474.0,1603.0,1414.0,619.0,438.0,2001.0,542.0,194.0,58.17,67.95,71.69,79.0,83.0,63.0,3723.99,2737.0,2764.75,233.0,29.9,32.35,32.35,195.36,196.89,191.61,1856.28,195.53,134.31,424.09,62.44,1028.64,731.0,185.86,195.54,185.86,1771.0,805.0,876.0,3452.0,199.0,176.0,33.0,339.0,55.0,869.0,938.0,1572.0,2377.0,216.0,488.0,1916.0,1457.0,505.0,512.0,1789.0,578.0,209.0,52.34,72.07,71.11,51.0,78.0,70.0,3437.54,2576.0,2567.78,275.0,29.85,36.81,36.82,188.55,188.54,183.48
SEA,2022,SEA,SEA,Team Level,5on5,64,0.51,0.52,0.53,190813.0,1597.36,136.16,106.21,384.46,53.66,885.79,662.72,132.41,137.57,133.82,1569.0,660.0,769.0,2998.0,162.0,122.0,22.0,336.0,55.0,685.0,869.0,1407.0,2067.0,200.0,447.0,1274.0,1286.0,514.0,385.0,1670.0,449.0,110.0,49.51,56.12,30.53,68.0,70.0,24.0,3035.99,2229.0,2256.75,212.0,21.92,22.62,22.96,135.12,136.65,134.56,1449.37,131.32,100.1,345.11,48.64,797.27,587.57,126.55,131.33,126.55,1379.0,631.0,730.0,2740.0,125.0,135.0,21.0,273.0,42.0,680.0,755.0,1254.0,1885.0,189.0,428.0,1488.0,1360.0,418.0,445.0,1429.0,461.0,120.0,41.86,57.81,31.65,38.0,58.0,29.0,2725.54,2010.0,2001.78,252.0,20.79,25.05,25.06,127.04,127.02,124.87
SEA,2022,SEA,SEA,Team Level,4on5,64,0.11,0.1,0.11,17620.0,35.76,4.32,2.05,5.11,1.24,11.4,22.88,4.28,4.32,4.28,38.0,9.0,9.0,56.0,2.0,2.0,0.0,2.0,1.0,9.0,31.0,36.0,45.0,3.0,9.0,132.0,89.0,58.0,15.0,29.0,11.0,7.0,0.81,1.59,1.92,1.0,1.0,0.0,56.0,47.0,47.0,13.0,0.46,0.48,0.48,4.29,4.29,4.27,273.38,36.73,25.19,57.92,9.48,166.5,86.18,34.74,36.73,34.74,269.0,113.0,102.0,484.0,43.0,30.0,8.0,48.0,7.0,133.0,121.0,226.0,339.0,17.0,37.0,176.0,24.0,14.0,37.0,261.0,73.0,48.0,7.15,8.75,20.83,8.0,11.0,24.0,484.0,382.0,382.0,3.0,6.58,6.79,6.79,36.52,36.52,34.81
SEA,2022,SEA,SEA,Team Level,5on4,64,0.89,0.88,0.85,17608.0,240.09,32.32,21.57,50.83,8.1,147.37,78.84,29.66,32.32,29.66,235.0,104.0,134.0,473.0,33.0,25.0,5.0,42.0,11.0,119.0,109.0,202.0,306.0,6.0,12.0,133.0,14.0,31.0,31.0,235.0,64.0,40.0,5.75,7.65,18.92,6.0,5.0,22.0,473.0,339.0,339.0,5.0,5.64,7.02,6.68,31.28,31.28,29.14,42.63,4.18,2.4,6.23,1.41,14.36,30.44,4.09,4.18,4.09,43.0,16.0,8.0,67.0,7.0,1.0,0.0,5.0,1.0,13.0,32.0,36.0,52.0,7.0,17.0,167.0,47.0,54.0,22.0,42.0,11.0,6.0,1.14,1.34,1.69,3.0,2.0,2.0,67.0,59.0,59.0,20.0,0.55,0.31,0.31,4.42,4.42,4.39
