season,name,team,position,games_played,icetime,goalsFor,penaltiesFor,penalityMinutesFor,hitsFor,takeawaysFor,giveawaysFor,goalsAgainst,penaltiesAgainst,penalityMinutesAgainst
2022,Wood-Haula-Mercer,NJD,line,11,1047,0,4,13,4,2,2,3,1,5
2022,Goligoski-Merrill,MIN,pairing,16,4761,2,8,19,33,10,10,4,2,7
2022,Dube-Backlund-Coleman,CGY,line,24,1686,1,4,11,15,4,5,1,4,11
2022,Hughes-Burroughs,VAN,pairing,25,3652,2,2,7,20,8,6,4,9,21
2022,Girard-Johnson,COL,pairing,12,1320,1,2,4,4,6,2,1,2,4
2022,Pesce-Chatfield,CAR,pairing,33,1871,2,2,4,14,7,3,1,2,4
2022,Ferraro-Simek,SJS,pairing,20,10503,2,14,31,88,23,28,5,12,27
2022,Moser-Gostisbehere,ARI,pairing,35,1999,0,1,2,12,1,8,4,0,0
2022,Janmark-Ryan-Shore,EDM,line,11,625,0,1,2,5,1,0,0,0,0
2022,Mangiapane-Kadri-Huberdeau,CGY,line,24,3011,1,4,8,21,4,19,5,2,4
2022,Gustafsson-Jensen,WSH,pairing,43,2913,2,4,8,16,10,9,3,2,4
2022,Armia-Suzuki-Caufield,MTL,line,10,1722,0,0,0,10,3,0,0,4,8
2022,Lindell-Suter,DAL,pairing,43,2047,0,1,2,11,6,5,0,3,6
2022,Hedman-Cole,TBL,pairing,42,6304,5,5,10,58,25,22,8,9,20
2022,Hutton-Hague,VGK,pairing,16,6072,3,4,11,44,13,11,4,13,27
2022,Beaulieu-Klingberg,ANA,pairing,19,4922,3,5,18,26,11,16,7,6,12
2022,Cotter-Roy-Kessel,VGK,line,10,2777,1,3,6,28,3,2,3,1,2
2022,Vatrano-Lundestrom-Silfverberg,ANA,line,25,6726,4,8,16,21,8,13,5,0,0
2022,Lindholm-Carlo,BOS,pairing,61,31811,30,36,81,217,55,79,15,34,79
2022,Gustafsson-Orlov,WSH,pairing,37,3123,2,5,10,20,9,9,0,6,12
2022,Farabee-Frost-Allison,PHI,line,10,1464,0,1,2,16,3,6,2,1,2
2022,Suter-Veleno-Berggren,DET,line,15,3449,3,3,6,22,7,4,1,3,6
2022,Erne-Copp-Sundqvist,DET,line,12,4124,3,6,12,33,5,11,1,1,2
2022,Xhekaj-Kovacevic,MTL,pairing,32,6986,3,13,35,47,17,19,2,7,23
2022,Roy-Howden-Kolesar,VGK,line,12,4733,4,5,13,46,10,4,3,3,9
2022,Foligno-Coyle-Hall,BOS,line,19,3112,2,2,4,24,3,9,1,2,4
2022,Oleksiak-Larsson,SEA,pairing,56,3699,1,5,13,26,11,12,2,1,5
2022,Broberg-Ceci,EDM,pairing,15,771,0,0,0,5,5,1,1,1,2
2022,Ritchie-Boyd-Kassian,ARI,line,12,613,0,1,2,6,0,1,1,0,0
2022,Kyrou-Schenn-Tarasenko,STL,line,13,832,0,0,0,3,0,3,4,0,0
2022,York-Braun,PHI,pairing,10,2264,3,3,8,17,3,6,2,0,0
2022,Nemeth-Stecher,ARI,pairing,53,23671,8,34,86,219,41,57,11,26,72
2022,Jones-Mctavish-Silfverberg,ANA,line,14,847,0,1,2,4,1,1,0,1,2
2022,Girard-Toews,COL,pairing,56,13502,11,9,18,53,30,16,7,12,24
2022,Girgensons-Krebs-Quinn,BUF,line,11,617,0,0,0,2,0,0,0,0,0
2022,Guentzel-Malkin-Rust,PIT,line,18,602,0,0,0,4,1,4,0,0,0
2022,Hayes-Frost-Tippett,PHI,line,20,1623,1,0,0,7,4,4,2,1,2
2022,Skinner-Cozens-Tuch,BUF,line,15,1645,2,0,0,8,7,3,1,4,8
2022,Chiarot-Oesterle,DET,pairing,21,966,1,1,2,5,0,3,0,1,2
2022,Peterka-Cozens-Okposo,BUF,line,17,846,0,0,0,8,2,1,0,1,2
2022,Skinner-Thompson-Hinostroza,BUF,line,14,1288,2,2,4,4,3,2,1,1,2
2022,Oleksiak-Schultz,SEA,pairing,52,28070,22,30,66,167,77,55,21,26,55
2022,Staal-Ekblad,FLA,pairing,47,5940,3,5,10,36,11,19,5,3,6
2022,Siegenthaler-Hamilton,NJD,pairing,69,55753,58,55,118,246,102,138,35,53,122
2022,Wotherspoon-Pulock,NYI,pairing,12,6908,4,1,2,52,14,13,2,7,14
2022,Nichushkin-Compher-Rantanen,COL,line,18,3435,1,2,4,14,11,8,2,4,8
2022,Stillman-Myers,VAN,pairing,27,14685,11,12,33,121,24,27,16,15,37
2022,Foegele-Mcleod-Ryan,EDM,line,19,1893,0,3,6,16,7,6,2,2,4
2022,Sanderson-Zub,OTT,pairing,27,4247,0,6,12,37,9,14,3,2,4
2022,Berni-Gudbranson,CBJ,pairing,46,33497,16,36,79,286,59,68,26,26,61
2022,Jones-Mitchell,CHI,pairing,25,11977,7,12,29,94,27,30,9,10,23
2022,Guentzel-Crosby-Rust,PIT,line,46,19206,16,15,33,149,39,62,16,18,41
2022,Weegar-Tanev,CGY,pairing,57,35315,19,36,80,267,76,97,22,43,98
2022,Provorov-Braun,PHI,pairing,24,3278,2,7,14,24,4,7,3,1,2
2022,Sergachev-Hedman,TBL,pairing,51,10595,9,11,28,53,37,30,7,21,48
2022,Dahlin-Pilut,BUF,pairing,10,1180,0,0,0,2,3,1,1,1,2
2022,Ferraro-Karlsson,SJS,pairing,60,13796,16,10,20,95,39,34,14,15,32
2022,Heiskanen-Lindell,DAL,pairing,51,2986,3,3,6,18,9,3,1,1,2
2022,Johnston-Benn-Gurianov,DAL,line,19,4644,1,7,14,18,11,19,1,1,2
2022,Henrique-Zegras-Vatrano,ANA,line,17,3529,2,5,16,21,7,12,0,3,12
2022,Mcavoy-Clifton,BOS,pairing,13,608,0,0,0,4,2,4,0,0,0
2022,Maatta-Lindstrom,DET,pairing,15,4413,1,2,4,25,9,10,4,6,12
2022,Kiviranta-Glendening-Gurianov,DAL,line,12,3073,0,0,0,18,5,8,3,1,2
2022,Hanifin-Andersson,CGY,pairing,66,51383,42,49,109,338,116,148,37,63,135
2022,Henrique-Mctavish-Terry,ANA,line,19,6253,2,4,8,25,12,18,4,2,4
2022,Walman-Maatta,DET,pairing,29,1581,1,0,0,11,2,3,2,0,0
2022,Jeannot-Glass-Trenin,NSH,line,21,769,0,0,0,15,1,1,0,0,0
2022,Carrier-Stephenson-Kessel,VGK,line,15,6998,6,6,12,43,15,14,2,9,18
2022,Milano-Strome-Oshie,WSH,line,15,5159,9,3,9,32,5,12,4,5,13
2022,Jones-Mctavish-Vatrano,ANA,line,17,3530,2,10,30,14,2,3,1,5,13
2022,Holloway-Ryan-Shore,EDM,line,14,2298,2,5,10,32,5,11,1,4,8
2022,Toews-Englund,COL,pairing,27,2235,0,2,4,11,6,2,0,0,0
2022,Newhook-Compher-Rantanen,COL,line,15,3551,5,3,6,19,11,8,4,1,2
2022,Foegele-Mcleod-Puljujarvi,EDM,line,25,5427,1,7,17,54,16,24,3,6,15
2022,Sheary-Eller-Mantha,WSH,line,14,746,1,3,6,0,3,2,3,2,4
2022,Harvey-Pinard-Suzuki-Anderson,MTL,line,17,7157,10,10,26,33,13,25,3,10,26
2022,Grzelcyk-Mcavoy,BOS,pairing,54,32275,34,43,89,164,68,85,14,40,83
2022,Leddy-Parayko,STL,pairing,62,49189,28,42,87,337,150,88,40,51,107
2022,Joseph-Petry,PIT,pairing,36,7036,12,5,10,57,15,21,7,4,8
2022,Farabee-Cates-Konecny,PHI,line,28,11544,8,11,22,56,24,23,8,13,26
2022,Ferraro-Harrington,SJS,pairing,18,5849,3,10,23,57,12,10,9,5,13
2022,Schultz-Borgen,SEA,pairing,25,1101,1,0,0,8,2,3,0,0,0
2022,Zboril-Clifton,BOS,pairing,15,2032,1,0,0,17,7,3,2,1,2
2022,Kyrou-Thomas-Toropchenko,STL,line,17,3143,2,5,10,18,11,7,4,5,10
2022,Barkov-Lundell-Reinhart,FLA,line,20,10786,5,11,22,48,29,30,12,10,20
2022,Matheson-Kovacevic,MTL,pairing,28,8236,8,9,27,56,13,25,7,6,18
2022,Schwartz-Beniers-Bjorkstrand,SEA,line,16,906,1,0,0,14,3,2,1,0,0
2022,Boqvist-Mcleod-Mercer,NJD,line,15,2661,5,7,18,19,3,5,0,4,14
2022,Johansson-Eller-Oshie,WSH,line,15,3239,1,0,0,29,7,6,1,2,4
2022,Hague-Pietrangelo,VGK,pairing,49,14698,12,16,32,127,55,24,13,12,24
2022,Robinson-Kuraly-Marchenko,CBJ,line,12,712,0,0,0,7,0,2,1,1,2
2022,Pulock-Mayfield,NYI,pairing,54,3045,3,7,14,24,4,5,1,7,14
2022,Benn-Johnston-Marchment,DAL,line,24,8228,4,9,18,48,16,25,5,7,14
2022,Power-Bryson,BUF,pairing,47,6604,3,4,11,23,10,15,9,6,15
2022,Hyman-Nugent-Hopkins-Janmark,EDM,line,12,1603,0,2,4,6,1,3,0,0,0
2022,Johnson-Mitchell,CHI,pairing,18,4227,3,6,15,24,9,15,4,5,13
2022,Jones-Roos,CHI,pairing,14,4750,2,8,22,35,12,21,7,4,14
2022,Milano-Eller-Mantha,WSH,line,11,729,1,0,0,5,0,1,0,0,0
2022,Aho-Mayfield,NYI,pairing,56,20467,9,16,32,178,47,53,12,25,50
2022,Johansson-Eller-Aube-Kubel,WSH,line,12,3235,2,4,8,30,8,7,2,1,2
2022,Byram-Johnson,COL,pairing,12,2590,2,1,2,18,5,7,0,0,0
2022,Heinen-Carter-Kapanen,PIT,line,13,3671,4,2,4,42,4,8,2,4,8
2022,Farabee-Cates-Tippett,PHI,line,19,1466,2,1,2,10,2,1,1,3,6
2022,Maroon-Paul-Colton,TBL,line,26,11828,8,15,36,136,32,21,5,9,24
2022,Zadorov-Andersson,CGY,pairing,66,6203,7,5,10,36,8,23,5,4,8
2022,Englund-Makar,COL,pairing,16,1108,0,3,9,19,3,2,1,3,9
2022,Merrill-Dumba,MIN,pairing,52,8880,2,12,30,60,18,19,7,8,22
2022,Kyrou-Thomas-Tarasenko,STL,line,15,4975,7,5,10,23,17,15,4,9,20
2022,Cole-Cernak,TBL,pairing,57,31521,25,45,96,266,85,71,20,34,74
2022,Granlund-Johansen-Niederreiter,NSH,line,16,5712,3,3,6,50,12,16,5,5,10
2022,Kane-Mcdavid-Ryan,EDM,line,11,800,1,0,0,8,1,5,1,1,2
2022,Samberg-Pionk,WPG,pairing,40,4829,1,7,16,37,13,11,2,6,10
2022,Leivo-O'Reilly-Saad,STL,line,20,10428,10,10,20,50,32,20,11,7,14
2022,Kulak-Broberg,EDM,pairing,13,1674,1,1,2,10,1,6,2,3,6
2022,Brodin-Addison,MIN,pairing,31,5424,3,8,19,38,9,17,6,5,13
2022,Doughty-Walker,LAK,pairing,19,671,1,0,0,8,1,2,1,1,2
2022,Chychrun-Brown,ARI,pairing,18,735,0,2,4,3,0,3,2,1,2
2022,Schmidt-Samberg,WPG,pairing,39,15666,12,18,38,86,33,42,9,18,36
2022,Trouba-Fox,NYR,pairing,49,2488,2,0,0,12,5,7,2,4,8
2022,Greenway-Eriksson Ek-Reaves,MIN,line,17,819,0,1,2,9,1,0,1,2,4
2022,Connor-Dubois-Appleton,WPG,line,11,1789,1,2,4,17,5,5,0,1,2
2022,Sergachev-Myers,TBL,pairing,10,1106,0,3,6,10,3,4,1,0,0
2022,Kubalik-Suter-Sundqvist,DET,line,11,3810,1,6,12,36,9,5,3,6,12
2022,Foudy-Roslovic-Bemstrom,CBJ,line,16,2802,1,2,4,26,8,1,1,2,4
2022,Bunting-Tavares-Nylander,TOR,line,28,2743,0,6,12,18,7,10,4,4,8
2022,Byfield-Kopitar-Kempe,LAK,line,32,21251,26,22,47,132,34,42,9,15,31
2022,Valimaki-Soderstrom,ARI,pairing,17,1959,1,3,6,16,3,8,2,0,0
